──────────────────────────────────────────────────────────────────────
Reprocessamento do catálogo (MEDICAMENTOS-priority)
──────────────────────────────────────────────────────────────────────
  dryRun:          false
  firstBatchOnly:  false
  batchSize:       150
  startFrom:       (nenhum)
  limit:           (sem limite)
  inclui não-med:  false
  skipRetail:      true
  onlyWithAtcOrDci:true
(node:2072) Warning: SECURITY WARNING: The SSL modes 'prefer', 'require', and 'verify-ca' are treated as aliases for 'verify-full'.
In the next major version (pg-connection-string v3.0.0 and pg v9.0.0), these modes will adopt standard libpq semantics, which have weaker security guarantees.

To prepare for this change:
- If you want the current behavior, explicitly use 'sslmode=verify-full'
- If you want libpq compatibility now, use 'uselibpqcompat=true&sslmode=require'

See https://www.postgresql.org/docs/current/libpq-ssl.html for libpq SSL mode definitions.
(Use `node --trace-warnings ...` to show where the warning was created)

  baseline:
    PASS 1 (med + Outros Medicamentos):  3452
    PASS 2 (med com campos em falta):    1565
    "Outros Medicamentos" no início:     5761


══════════════════════════════════════════════════════════════════════
PASS 1 — MEDICAMENTO em "Outros Medicamentos" (com ATC ou DCI)
══════════════════════════════════════════════════════════════════════
[enrich] cnp=5730601 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=3634482 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=3089687 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=3633385 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5733670 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=9492231 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=4375283 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=9276147 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=9625814 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5071402 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5801469 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=9634808 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5755244 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5755251 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5755236 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=4761383 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5605712 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5428677 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=9767830 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5064431 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=4531489 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5015987 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5016480 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5862248 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5282124 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5282132 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5370127 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5370135 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=9524215 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=4107983 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=4109385 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5859053 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5640347 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5640420 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5635370 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5635305 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5659727 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5647649 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5632476 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5775671 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5631239 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5631346 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5672225 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5639166 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5790555 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5469234 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5469242 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5705702 type=MEDICAMENTO typeConf=95% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5385364 type=MEDICAMENTO typeConf=95% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5771266 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
[enrich] cnp=5771324 type=MEDICAMENTO typeConf=97% status=PARTIALLY_VERIFIED (downgrade de VERIFIED) needsReview=false queued=false fields=[—]
